x1,y
AT,3.532194644907339e6
BE,3.8229255563865113e6
BG,1.6689948941549107e6
CH,2.93702818192016e6
CZ,3.374431217238367e6
DE,3.273642747719784e7
DK,1.812543964189174e6
EE,415602.4140144
ES,1.184627694325614e7
FI,2.248923348887657e6
FR,2.3129227879104875e7
GR,2.693386438898379e6
HR,881939.8688034224
HU,2.521765046353835e6
IE,1.4823368301232583e6
IT,1.9443061791276038e7
LT,1.114395453923163e6
LU,231575.96185919948
LV,825505.2123028224
NL,5.447345904344735e6
NO,1.992674479363577e6
PL,9.845375910538726e6
PT,2.371717693846399e6
RO,3.461766682227699e6
SE,4.091432736154834e6
SI,870927.2878361514
SK,1.36417936468659e6
TR,1.827231048082677e7
UK,1.059715973579735e7
NONEU_Balkan,2.10661226900296e6
